date,equity,cash
2022-07-20,101637.0,86646.0
2022-07-21,101637.0,86646.0
2022-07-22,101637.0,86646.0
2022-07-25,101637.0,86646.0
2022-07-26,101637.0,86646.0
2022-07-27,101637.0,86646.0
2022-07-28,100908.0,100908.0
2022-07-29,100908.0,100908.0
2022-08-01,100908.0,100908.0
2022-08-02,100908.0,100908.0
2022-08-03,100908.0,100908.0
2022-08-04,100908.0,100908.0
2022-08-05,100908.0,100908.0
2022-08-08,100908.0,100908.0
2022-08-09,100908.0,100908.0
2022-08-10,100908.0,100908.0
2022-08-11,100907.0,86338.0
2022-08-12,100907.0,86338.0
2022-08-15,100907.0,86338.0
2022-08-16,100907.0,86338.0
2022-08-17,100907.0,86338.0
2022-08-18,100907.0,86338.0
2022-08-19,100907.0,86338.0
2022-08-22,100907.0,86338.0
2022-08-23,100907.0,86338.0
2022-08-24,100907.0,86338.0
2022-08-25,100907.0,86338.0
2022-08-26,100907.0,86338.0
2022-08-29,100907.0,86338.0
2022-08-30,100907.0,86338.0
2022-08-31,100906.0,76865.0
2022-09-01,100906.0,76865.0
2022-09-02,100906.0,76865.0
2022-09-05,100906.0,76865.0
2022-09-06,100906.0,76865.0
2022-09-07,100906.0,76865.0
2022-09-08,100719.0,86150.0
2022-09-09,100719.0,86150.0
2022-09-12,100719.0,86150.0
2022-09-13,100719.0,86150.0
2022-09-14,100719.0,86150.0
2022-09-15,100719.0,86150.0
2022-09-16,100719.0,86150.0
2022-09-19,100719.0,86150.0
2022-09-20,100719.0,86150.0
2022-09-21,100719.0,86150.0
2022-09-22,100719.0,86150.0
2022-09-23,100719.0,86150.0
2022-09-26,100719.0,86150.0
2022-09-27,100719.0,86150.0
2022-09-28,100719.0,86150.0
2022-09-29,100719.0,86150.0
2022-09-30,100719.0,86150.0
2022-10-03,100719.0,86150.0
2022-10-04,100719.0,86150.0
2022-10-05,100719.0,86150.0
2022-10-06,100719.0,86150.0
2022-10-07,100719.0,86150.0
2022-10-10,100719.0,86150.0
2022-10-11,100719.0,86150.0
2022-10-12,100719.0,86150.0
2022-10-13,100719.0,86150.0
2022-10-14,100719.0,86150.0
2022-10-17,100719.0,86150.0
2022-10-18,100719.0,86150.0
2022-10-19,100018.0,89825.0
2022-10-20,100018.0,89825.0
2022-10-21,100018.0,89825.0
2022-10-24,100018.0,89825.0
2022-10-25,100018.0,89825.0
2022-10-26,100018.0,89825.0
2022-10-27,100018.0,89825.0
2022-10-28,100018.0,89825.0
2022-10-31,100018.0,89825.0
2022-11-01,100018.0,89825.0
2022-11-02,100018.0,89825.0
2022-11-03,100018.0,89825.0
2022-11-04,100018.0,89825.0
2022-11-07,100018.0,89825.0
2022-11-08,100017.0,75837.0
2022-11-09,100017.0,75837.0
2022-11-10,100017.0,75837.0
2022-11-11,100017.0,75837.0
2022-11-14,100017.0,75837.0
2022-11-15,100017.0,75837.0
2022-11-16,100017.0,75837.0
2022-11-17,100017.0,75837.0
2022-11-18,100017.0,75837.0
2022-11-21,100905.0,86918.0
2022-11-22,100905.0,86918.0
2022-11-23,100904.0,75582.0
2022-11-24,100904.0,75582.0
2022-11-25,100904.0,75582.0
2022-11-28,100904.0,75582.0
2022-11-29,100904.0,75582.0
2022-11-30,100904.0,75582.0
2022-12-01,100904.0,75582.0
2022-12-02,100904.0,75582.0
2022-12-05,100608.0,86621.0
2022-12-06,100608.0,86621.0
2022-12-07,100608.0,86621.0
2022-12-08,100608.0,86621.0
2022-12-09,100608.0,86621.0
2022-12-12,100608.0,86621.0
2022-12-13,100608.0,86621.0
2022-12-14,100608.0,86621.0
2022-12-15,100608.0,86621.0
2022-12-16,100608.0,86621.0
2022-12-19,100608.0,86621.0
2022-12-20,100608.0,86621.0
2022-12-21,100608.0,86621.0
2022-12-22,100608.0,86621.0
2022-12-23,100608.0,86621.0
2022-12-26,100608.0,86621.0
2022-12-27,100608.0,86621.0
2022-12-28,100608.0,86621.0
2022-12-29,100505.0,100505.0
2022-12-30,100505.0,100505.0
2023-01-02,100505.0,100505.0
2023-01-03,100505.0,100505.0
2023-01-04,100505.0,100505.0
2023-01-05,100505.0,100505.0
2023-01-06,100505.0,100505.0
2023-01-09,100505.0,100505.0
2023-01-10,100505.0,100505.0
2023-01-11,100505.0,100505.0
2023-01-12,100505.0,100505.0
2023-01-13,100505.0,100505.0
2023-01-16,100505.0,100505.0
